ref_insee,commune,wikipedia,surf_ha,epci,bassin_air,rectangle
38540,Veurey-Voroize,fr:Veurey-Voroize,1245,LaMetro,Bassin_Grenoble,True
38565,Voreppe,fr:Voreppe,2886,PaysVoironnais,Bassin_Grenoble,True
38170,Fontanil-Cornillon,fr:Fontanil-Cornillon,534,LaMetro,Bassin_Grenoble,True
38503,La Terrasse,fr:La Terrasse (Isère),909,LeGresivaudan,Bassin_Grenoble,True
38214,Lumbin,fr:Lumbin,660,LeGresivaudan,Bassin_Grenoble,True
38140,Crolles,fr:Crolles,1444,LeGresivaudan,Bassin_Grenoble,True
38486,Seyssins,fr:Seyssins,803,LaMetro,Bassin_Grenoble,True
38474,Sassenage,fr:Sassenage,1331,LaMetro,Bassin_Grenoble,True
38151,Échirolles,fr:Échirolles,782,LaMetro,Bassin_Grenoble,True
38169,Fontaine,fr:Fontaine (Isère),663,LaMetro,Bassin_Grenoble,True
38423,Saint-Martin-le-Vinoux,fr:Saint-Martin-le-Vinoux,1003,LaMetro,Bassin_Grenoble,True
38466,Saint-Vincent-de-Mercuze,fr:Saint-Vincent-de-Mercuze,777,LeGresivaudan,Bassin_Grenoble,True
38432,Saint-Nicolas-de-Macherin,fr:Saint-Nicolas-de-Macherin,1064,PaysVoironnais,,True
38059,Brié-et-Angonnes,fr:Brié-et-Angonnes,982,LaMetro,Bassin_Grenoble,True
38567,Chamrousse,fr:Chamrousse,1238,LeGresivaudan,,True
38188,Herbeys,fr:Herbeys,795,LaMetro,Bassin_Grenoble,True
38364,Saint-Barthélemy-de-Séchilienne,fr:Saint-Barthélemy-de-Séchilienne,1210,LaMetro,,True
38328,Quaix-en-Chartreuse,fr:Quaix-en-Chartreuse,1826,LaMetro,,True
38292,Villages du Lac de Paladru,fr:Villages du Lac de Paladru,2325,PaysVoironnais,,True
38566,Vourey,fr:Vourey,684,PaysVoironnais,Bassin_Grenoble,True
38436,Saint-Paul-de-Varces,fr:Saint-Paul-de-Varces,1990,LaMetro,Bassin_Grenoble,True
38277,Notre-Dame-de-Commiers,fr:Notre-Dame-de-Commiers,560,LaMetro,,True
38472,Sarcenas,fr:Sarcenas,777,LaMetro,,True
38383,Saint-Étienne-de-Crossey,fr:Saint-Étienne-de-Crossey,1304,PaysVoironnais,,True
38228,Merlas,fr:Merlas,1564,PaysVoironnais,,True
38105,Chirens,fr:Chirens,1760,PaysVoironnais,Bassin_Grenoble,True
38404,Saint-Jean-le-Vieux,fr:Saint-Jean-le-Vieux (Isère),464,LeGresivaudan,,True
38407,La Sure en Chartreuse,fr:La Sure en Chartreuse,2785,PaysVoironnais,,True
38563,Voiron,fr:Voiron,2211,PaysVoironnais,Bassin_Grenoble,True
38397,Saint-Ismier,fr:Saint-Ismier,1489,LeGresivaudan,Bassin_Grenoble,True
38249,Montbonnot-Saint-Martin,fr:Montbonnot-Saint-Martin,661,LeGresivaudan,Bassin_Grenoble,True
38239,Moirans,fr:Moirans,2028,PaysVoironnais,Bassin_Grenoble,True
38179,Gières,fr:Gières,699,LaMetro,Bassin_Grenoble,True
38281,Noyarey,fr:Noyarey,1699,LaMetro,Bassin_Grenoble,True
38185,Grenoble,fr:Grenoble,1854,LaMetro,Bassin_Grenoble,True
38382,Saint-Égrève,fr:Saint-Égrève,1082,LaMetro,Bassin_Grenoble,True
38460,Saint-Sulpice-des-Rivoires,fr:Saint-Sulpice-des-Rivoires,716,PaysVoironnais,,True
38256,Montferrat,fr:Montferrat (Isère),1299,PaysVoironnais,,True
38270,La Murette,fr:La Murette,423,PaysVoironnais,Bassin_Grenoble,True
38080,Charancieu,fr:Charancieu,553,PaysVoironnais,,True
38222,Massieu,fr:Massieu (Isère),1045,PaysVoironnais,,True
38084,Charnècles,fr:Charnècles,523,PaysVoironnais,Bassin_Grenoble,True
38564,Voissant,fr:Voissant,391,PaysVoironnais,,True
38373,Saint-Cassien,fr:Saint-Cassien (Isère),567,PaysVoironnais,Bassin_Grenoble,True
38133,Coublevie,fr:Coublevie,700,PaysVoironnais,Bassin_Grenoble,True
38181,Goncelin,fr:Goncelin,1462,LeGresivaudan,Bassin_Grenoble,True
38070,Le Champ-près-Froges,fr:Le Champ-près-Froges,490,LeGresivaudan,Bassin_Grenoble,True
38175,Froges,fr:Froges,630,LeGresivaudan,Bassin_Grenoble,True
38547,Villard-Bonnot,fr:Villard-Bonnot,586,LeGresivaudan,Bassin_Grenoble,True
38271,Murianette,fr:Murianette,615,LaMetro,Bassin_Grenoble,True
38268,Le Moutaret,fr:Le Moutaret,528,LeGresivaudan,,True
